X,Y,OBJECTID,AREA,PERIMETER,PHTW911_,PHTW911_ID,XLO,YLO,SNO,YEAR,LNO,FE,MN,CU,ZN,CD,CR,NI,PB,CUAR,CUAR_OVER,ZNAR,ZNAR_OVER,CDAR,CDAR_OVER,CRAR,CRAR_OVER,NIAR,NIAR_OVER,PBAR,PBAR_OVER,OVER,RESTRICTED
121.2472381009,24.9988513482,9999,62500,1000,1209,89190,274125,2765875,GR90IO00601,2001,IO0060,383.83,7.2,432.1,21.32,0.18,3.68,6.58,55.77,893.6226,1,142.7363,0,0.2947,0,95.7704,0,48.3164,0,163.3517,0,1,1
121.1853149809,24.9944291265,10054,62500,1000,1266,26854,267875,2765375,GR83IN08191,1994,IN0819,639.87,20.56,7.38,206.6,0.34,5.2,2.33,6.44,25.6648,0,603.3053,1,0.528,0,122.1454,0,26.5152,0,24.2066,0,1,1
121.2051124584,24.9853743822,10145,62500,1000,1362,88224,269875,2764375,GR89IN08951,2000,IN0895,674.53,32.13,4.92,256.31,0.28,0.28,1.44,8.8,20.6375,0,726.8744,1,0.4405,0,36.7736,0,21.9498,0,30.8635,0,1,1
121.1679636212,24.9831629535,10156,62500,1000,1374,26732,266125,2764125,GR83IN07441,1994,IN0744,1000.37,136.59,437.68,0,2.66,19.96,84.49,89.59,905.0258,1,89.739,0,3.91,0,378.2609,1,447.9714,1,258.7478,0,1,1
121.2100421786,24.9718240158,10267,62500,1000,1490,88269,270375,2762875,GR88IN191A1,1999,IN191A,91.51,40.51,18.12,208.73,0.23,0.57,4.64,13.74,47.613,0,608.6,1,0.3676,0,41.8056,0,38.3648,0,44.7977,0,1,1
121.2125144217,24.9695631966,10300,62500,1000,1524,65543,270625,2762625,GR87IN19291,1998,IN1929,396.44,40.54,13.58,223.13,0.64,1.36,7.98,19.29,38.3351,0,644.3956,1,0.9653,0,55.5137,0,55.498,0,60.4526,0,1,1
121.1530853651,24.9673778135,10315,62500,1000,1539,26995,264625,2762375,GR83IN16881,1994,IN1688,586.87,19.15,189.39,109.84,0.48,0.93,2.69,13.5,397.6204,1,362.7793,0,0.732,0,48.0524,0,28.3619,0,44.1208,0,1,1
121.3189789602,24.967114053,10338,62500,1000,1565,67930,281375,2762375,GR85JN13481,1996,JN1348,681.22,9.46,13.9,115.81,11.55,1.36,2.49,322.83,38.989,0,377.6195,0,16.8699,1,55.5137,0,27.336,0,916.6479,1,1,1
121.2100306011,24.9650523276,10354,62500,1000,1581,65533,270375,2762125,GR87IN19171,1998,IN1917,358.32,8.89,98.8,64.79,0.24,0.28,3.43,9.07,212.4907,1,250.794,0,0.3822,0,36.7736,0,32.1579,0,31.625,0,1,1
121.3065938599,24.9648828487,10363,62500,1000,1590,67850,280125,2762125,GR85JN12971,1996,JN1297,856.13,8.93,7.56,217.18,0.57,1.96,2.43,27.06,26.0326,0,629.605,1,0.8632,0,65.9249,0,27.0282,0,82.3694,0,1,1
121.1704113727,24.9628453981,10375,62500,1000,1603,65526,266375,2761875,GR85IN17561,1996,IN1756,576.89,32.63,13.88,218.81,0.56,1.01,5,15.03,38.9482,0,633.6569,1,0.8487,0,49.4405,0,40.2115,0,48.4364,0,1,1
121.1728873232,24.9628426467,10376,62500,1000,1604,27085,266625,2761875,GR83IN17661,1994,IN1766,1013.13,64.78,108.64,861.86,1.06,4.27,16.54,36.91,232.5997,1,2232.1506,1,1.5776,0,106.008,0,99.4082,0,110.1533,0,1,1
121.435328385,24.9600467329,10418,62500,1000,1647,95573,293125,2761625,GR89JN18151,2000,JN1815,378.03,75.14,109.62,13.3,0.18,0.33,1.33,10.63,234.6024,1,122.8001,0,0.2947,0,37.6412,0,21.3855,0,36.0253,0,1,1
121.3932197998,24.9556521696,10462,62500,1000,1692,95530,288875,2761125,GR87JN16431,1998,JN1643,1172.46,20.19,165.21,21.61,0.27,1.11,1.9,14.15,348.2062,1,143.4571,0,0.4259,0,51.1757,0,24.3094,0,45.9542,0,1,1
121.313992782,24.9535817962,10480,62500,1000,1710,67898,280875,2760875,GR85JN13221,1996,JN1322,457,13.43,5.62,18.08,3.65,1.61,0.64,18.17,22.068,0,134.6823,0,5.3533,1,59.8517,0,17.846,0,57.2934,0,1,1
121.2421833117,24.9469447628,10564,62500,1000,1799,27156,273625,2760125,GR82IN304B1,1993,IN304B,934.72,18.84,12.31,34.75,13.16,0.59,1.38,30.57,35.7397,0,176.1205,0,19.2169,1,42.1527,0,21.642,0,92.2701,0,1,1
121.8932424847,24.9422038996,10625,62500,1000,1863,32364,339375,2759875,GR83LN26481,1994,LN2648,392.97,117.56,296.47,45.5,0.32,0.42,1.44,16.03,616.4491,1,202.8429,0,0.4988,0,39.2028,0,21.9498,0,51.2571,0,1,1
121.2347432973,24.9401851498,10660,62500,1000,1900,27117,272875,2759375,GR82IN30181,1993,IN3018,516.21,215.85,14.02,385.46,6.22,0.71,1.26,125.8,39.2343,0,1047.9155,1,9.0998,1,44.2349,0,21.0264,0,360.8854,0,1,1
121.3337424445,24.9332250667,10756,62500,1000,2001,68241,282875,2758625,GR85JN24041,1996,JN2404,150.96,8.2,3.97,7.52,7.14,0.23,0.6,9.35,18.6961,0,108.4322,0,10.441,1,35.906,0,17.6408,0,32.4148,0,1,1
121.0416367577,24.913274927,10952,62500,1000,2205,88552,253375,2756375,GR89IN32371,2000,IN3237,1032.11,131.16,104.87,60.79,0.31,1.77,6.88,12.08,224.8953,1,240.8508,0,0.4842,0,62.628,0,49.8553,0,40.1154,0,1,1
121.002034318,24.859109625,11303,62500,1000,2574,87390,249375,2750375,GR89HN60851,2000,HN6085,640.19,64.01,221.93,78.92,0.6,2.46,4.7,20.23,464.1191,1,285.9183,0,0.907,0,74.6009,0,38.6726,0,63.1041,0,1,1
121.7338395386,24.7783080741,11440,62500,1000,2717,31750,323375,2741625,GR83KN90021,1994,KN9002,272.48,95.1,117.46,23.03,0.17,8.54,3.09,17.24,250.6243,1,146.987,0,0.2801,0,180.1011,0,30.4138,0,54.6702,0,1,1
121.7411616485,24.7624719152,11536,62500,1000,2816,31658,324125,2739875,GR83KN00361,1994,KN0036,354.46,96.47,45.42,222.41,0.69,1.69,7.23,28.02,103.4033,0,642.6058,1,1.0382,0,61.2399,0,51.6507,0,85.0773,0,1,1
121.7607035826,24.7240035505,11846,62500,1000,3146,31853,326125,2735625,GR83LM01101,1994,LM0110,1332.58,51.64,104.13,54.15,0.53,0.63,4.32,14.63,223.3831,1,224.3451,0,0.8049,0,42.8468,0,36.7233,0,47.3081,0,1,1
121.7704077358,24.6946110816,12237,62500,1000,3551,97647,327125,2732375,GR89LM215A1,2000,LM215A,986.18,64.02,174.51,14.65,0.25,0.21,1.24,14.1,367.2116,1,126.156,0,0.3967,0,35.5589,0,20.9238,0,45.8132,0,1,1
